titulo,artista,album,duracion,popularidad
Just Give Me a Reason (2020 Remaster),Imagine Dragons,Abbey Road (2018),194,14
Believer (2020 Remaster),Coldplay,The Truth About Love (2016),248,11
Bohemian Rhapsody (2024 Remaster),Queen,Divide (2023),228,7
Bohemian Rhapsody (2023 Remaster),Adele,We Sing. We Dance. We Steal Things (2015),225,20
Just Give Me a Reason (2022 Remaster),Jason Mraz,Abbey Road (2022),182,15
Shape of You (2023 Remaster),Nickelback,X&Y (2021),225,18
Fix You (2020 Remaster),P!nk,Greatest Hits (2024),206,15
Hey Jude (2023 Remaster),Nickelback,All the Right Reasons (2023),289,1
Fix You (2024 Remaster),Journey,The Truth About Love (2016),286,11
I'm Yours (2023 Remaster),Adele,All the Right Reasons (2015),210,5
I'm Yours (2024 Remaster),Queen,Night Visions (2016),263,12
Don't Stop Believin' (2020 Remaster),Adele,We Sing. We Dance. We Steal Things (2022),239,20
Believer (2019 Remaster),Imagine Dragons,The Truth About Love (2018),260,3
Shape of You (2024 Remaster),Journey,All the Right Reasons (2018),293,19
Hey Jude (2023 Remaster),Imagine Dragons,The Truth About Love (2021),288,17
Bohemian Rhapsody (2020 Remaster),Jason Mraz,X&Y (2018),205,1
I'm Yours (2021 Remaster),Jason Mraz,21 (2016),288,10
Hey Jude (2018 Remaster),The Beatles,All the Right Reasons (2024),248,19
Just Give Me a Reason (2022 Remaster),Imagine Dragons,A Night at the Opera (2016),203,19
Rockstar (2022 Remaster),Imagine Dragons,Greatest Hits (2020),256,13
Believer (2019 Remaster),Adele,The Truth About Love (2024),223,9
Don't Stop Believin' (2019 Remaster),P!nk,Night Visions (2024),262,10
Fix You (2021 Remaster),Adele,We Sing. We Dance. We Steal Things (2022),286,19
I'm Yours (2023 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2021),229,1
Fix You (2021 Remaster),Adele,All the Right Reasons (2016),193,16
I'm Yours (2024 Remaster),Journey,Abbey Road (2024),273,17
I'm Yours (2022 Remaster),P!nk,A Night at the Opera (2020),211,6
Rockstar (2024 Remaster),P!nk,A Night at the Opera (2024),192,12
Fix You (2020 Remaster),P!nk,Divide (2022),190,14
Someone Like You (2020 Remaster),Ed Sheeran,The Truth About Love (2023),289,18
Don't Stop Believin' (2018 Remaster),P!nk,The Truth About Love (2016),276,18
Someone Like You (2022 Remaster),Adele,The Truth About Love (2017),233,3
Bohemian Rhapsody (2022 Remaster),Ed Sheeran,21 (2017),197,9
Believer (2024 Remaster),Imagine Dragons,X&Y (2015),216,20
Hey Jude (2019 Remaster),P!nk,Abbey Road (2015),296,18
I'm Yours (2018 Remaster),The Beatles,Abbey Road (2021),212,9
Someone Like You (2023 Remaster),Journey,Greatest Hits (2019),185,6
Someone Like You (2020 Remaster),Ed Sheeran,X&Y (2022),299,12
Don't Stop Believin' (2018 Remaster),Adele,X&Y (2020),264,5
Believer (2020 Remaster),Journey,All the Right Reasons (2019),218,1
Just Give Me a Reason (2024 Remaster),Queen,A Night at the Opera (2015),250,4
Don't Stop Believin' (2020 Remaster),Jason Mraz,Night Visions (2017),229,13
Don't Stop Believin' (2024 Remaster),Nickelback,The Truth About Love (2019),263,8
Hey Jude (2023 Remaster),P!nk,A Night at the Opera (2015),235,13
Hey Jude (2020 Remaster),Jason Mraz,All the Right Reasons (2021),247,14
Bohemian Rhapsody (2024 Remaster),Journey,Greatest Hits (2018),283,1
Don't Stop Believin' (2020 Remaster),P!nk,Night Visions (2015),182,8
Fix You (2023 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2015),258,13
Hey Jude (2024 Remaster),Coldplay,X&Y (2015),293,8
Shape of You (2020 Remaster),P!nk,X&Y (2015),250,2
Just Give Me a Reason (2020 Remaster),Jason Mraz,All the Right Reasons (2019),208,4
I'm Yours (2019 Remaster),Imagine Dragons,The Truth About Love (2024),244,16
Believer (2021 Remaster),Ed Sheeran,Divide (2017),256,4
Don't Stop Believin' (2023 Remaster),Coldplay,The Truth About Love (2015),193,20
Hey Jude (2018 Remaster),Ed Sheeran,21 (2017),261,15
Shape of You (2020 Remaster),P!nk,All the Right Reasons (2024),230,17
Just Give Me a Reason (2023 Remaster),Imagine Dragons,21 (2020),212,4
Believer (2021 Remaster),Imagine Dragons,21 (2016),183,10
Someone Like You (2022 Remaster),Coldplay,21 (2018),231,14
Believer (2021 Remaster),Queen,Night Visions (2021),191,1
I'm Yours (2023 Remaster),The Beatles,Greatest Hits (2017),183,6
Don't Stop Believin' (2018 Remaster),Queen,We Sing. We Dance. We Steal Things (2023),241,17
Fix You (2024 Remaster),The Beatles,21 (2020),298,14
Fix You (2024 Remaster),Adele,Night Visions (2017),282,2
Don't Stop Believin' (2020 Remaster),The Beatles,The Truth About Love (2019),204,9
Don't Stop Believin' (2019 Remaster),Adele,The Truth About Love (2020),288,9
Bohemian Rhapsody (2021 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2017),237,4
Bohemian Rhapsody (2018 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2020),283,6
Rockstar (2024 Remaster),Jason Mraz,Night Visions (2022),202,5
Fix You (2018 Remaster),Journey,We Sing. We Dance. We Steal Things (2016),209,14
Don't Stop Believin' (2023 Remaster),Ed Sheeran,All the Right Reasons (2024),224,15
Just Give Me a Reason (2019 Remaster),Adele,We Sing. We Dance. We Steal Things (2023),183,3
Fix You (2020 Remaster),The Beatles,Divide (2018),188,4
Someone Like You (2024 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2018),266,12
Rockstar (2024 Remaster),Journey,A Night at the Opera (2016),244,13
Hey Jude (2022 Remaster),Jason Mraz,Abbey Road (2022),296,11
Fix You (2019 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2020),284,20
Rockstar (2023 Remaster),Nickelback,A Night at the Opera (2023),238,7
Hey Jude (2023 Remaster),The Beatles,Divide (2024),219,20
Fix You (2021 Remaster),Queen,The Truth About Love (2016),231,1
Bohemian Rhapsody (2021 Remaster),Ed Sheeran,Greatest Hits (2016),234,12
Just Give Me a Reason (2024 Remaster),P!nk,Divide (2020),210,9
Someone Like You (2018 Remaster),Adele,We Sing. We Dance. We Steal Things (2015),280,10
Just Give Me a Reason (2023 Remaster),Journey,All the Right Reasons (2018),291,12
I'm Yours (2023 Remaster),Imagine Dragons,Divide (2016),257,1
Rockstar (2019 Remaster),Jason Mraz,All the Right Reasons (2021),236,2
Believer (2018 Remaster),Imagine Dragons,X&Y (2023),275,17
I'm Yours (2020 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2018),245,20
Don't Stop Believin' (2023 Remaster),Nickelback,Abbey Road (2020),289,2
I'm Yours (2023 Remaster),Journey,We Sing. We Dance. We Steal Things (2015),267,20
I'm Yours (2021 Remaster),Coldplay,Divide (2017),236,16
Hey Jude (2022 Remaster),Adele,We Sing. We Dance. We Steal Things (2020),205,14
Don't Stop Believin' (2019 Remaster),Nickelback,21 (2016),198,2
Believer (2020 Remaster),The Beatles,The Truth About Love (2017),224,14
Shape of You (2018 Remaster),The Beatles,Greatest Hits (2022),190,12
Bohemian Rhapsody (2019 Remaster),Imagine Dragons,21 (2023),298,11
Someone Like You (2023 Remaster),The Beatles,Night Visions (2020),253,6
Bohemian Rhapsody (2021 Remaster),Imagine Dragons,Divide (2019),258,18
Just Give Me a Reason (2021 Remaster),P!nk,A Night at the Opera (2019),295,8
Believer (2023 Remaster),Journey,Divide (2022),266,15
Shape of You (2021 Remaster),The Beatles,Divide (2021),183,1
Someone Like You (2021 Remaster),Jason Mraz,Night Visions (2020),193,14
Believer (2018 Remaster),P!nk,21 (2018),200,2
Bohemian Rhapsody (2020 Remaster),Queen,All the Right Reasons (2017),290,6
Shape of You (2021 Remaster),Journey,Abbey Road (2015),239,6
Don't Stop Believin' (2021 Remaster),Adele,The Truth About Love (2023),288,2
Fix You (2018 Remaster),The Beatles,All the Right Reasons (2016),229,4
Someone Like You (2022 Remaster),Jason Mraz,X&Y (2019),233,15
Shape of You (2021 Remaster),Journey,Divide (2023),195,5
Just Give Me a Reason (2020 Remaster),Jason Mraz,Night Visions (2023),281,11
Bohemian Rhapsody (2021 Remaster),Jason Mraz,Night Visions (2022),223,19
Someone Like You (2023 Remaster),Journey,All the Right Reasons (2019),281,8
Believer (2024 Remaster),Jason Mraz,X&Y (2016),245,15
Fix You (2019 Remaster),Nickelback,All the Right Reasons (2015),219,16
Believer (2022 Remaster),Coldplay,All the Right Reasons (2015),245,18
Shape of You (2024 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2023),250,8
Don't Stop Believin' (2020 Remaster),Coldplay,21 (2021),215,3
Shape of You (2019 Remaster),Queen,21 (2017),292,11
Just Give Me a Reason (2019 Remaster),P!nk,The Truth About Love (2023),237,9
Shape of You (2018 Remaster),Queen,X&Y (2019),214,4
Rockstar (2019 Remaster),Nickelback,21 (2021),262,20
Someone Like You (2024 Remaster),P!nk,We Sing. We Dance. We Steal Things (2018),225,8
Shape of You (2018 Remaster),Ed Sheeran,X&Y (2023),207,7
Believer (2024 Remaster),Coldplay,Night Visions (2024),293,12
Hey Jude (2023 Remaster),Queen,We Sing. We Dance. We Steal Things (2024),234,17
Rockstar (2021 Remaster),The Beatles,21 (2020),266,4
Don't Stop Believin' (2021 Remaster),Journey,X&Y (2020),193,10
Don't Stop Believin' (2018 Remaster),Imagine Dragons,All the Right Reasons (2017),274,3
Fix You (2019 Remaster),Nickelback,All the Right Reasons (2019),281,7
Hey Jude (2023 Remaster),Nickelback,X&Y (2018),260,19
Shape of You (2022 Remaster),Coldplay,All the Right Reasons (2018),241,14
Someone Like You (2023 Remaster),Nickelback,All the Right Reasons (2017),256,16
Hey Jude (2024 Remaster),Nickelback,Divide (2018),253,10
Bohemian Rhapsody (2022 Remaster),Imagine Dragons,A Night at the Opera (2015),255,15
Rockstar (2020 Remaster),Queen,A Night at the Opera (2020),267,6
Rockstar (2020 Remaster),Adele,Abbey Road (2016),268,10
Someone Like You (2018 Remaster),P!nk,A Night at the Opera (2018),209,10
Just Give Me a Reason (2023 Remaster),Coldplay,Night Visions (2021),251,8
Hey Jude (2024 Remaster),Queen,Greatest Hits (2019),191,18
Just Give Me a Reason (2024 Remaster),Journey,A Night at the Opera (2021),289,12
Don't Stop Believin' (2019 Remaster),Adele,Abbey Road (2015),240,17
Shape of You (2019 Remaster),Jason Mraz,All the Right Reasons (2021),222,17
Shape of You (2024 Remaster),Coldplay,21 (2021),266,4
Shape of You (2020 Remaster),Queen,All the Right Reasons (2024),256,9
Rockstar (2021 Remaster),Imagine Dragons,Night Visions (2018),195,10
Bohemian Rhapsody (2021 Remaster),Jason Mraz,The Truth About Love (2020),283,12
Hey Jude (2022 Remaster),Journey,Night Visions (2022),283,2
Fix You (2022 Remaster),Queen,21 (2017),183,20
Believer (2020 Remaster),Queen,The Truth About Love (2018),281,3
I'm Yours (2018 Remaster),P!nk,A Night at the Opera (2022),273,11
Hey Jude (2023 Remaster),Ed Sheeran,21 (2015),246,13
Rockstar (2024 Remaster),Nickelback,Divide (2019),229,10
Don't Stop Believin' (2019 Remaster),Nickelback,Divide (2018),267,12
I'm Yours (2018 Remaster),The Beatles,X&Y (2024),246,11
Don't Stop Believin' (2024 Remaster),P!nk,Night Visions (2021),229,10
Bohemian Rhapsody (2018 Remaster),The Beatles,A Night at the Opera (2019),203,4
Someone Like You (2020 Remaster),Nickelback,Abbey Road (2022),269,9
Rockstar (2024 Remaster),P!nk,X&Y (2021),244,7
Hey Jude (2024 Remaster),Nickelback,A Night at the Opera (2021),195,17
Just Give Me a Reason (2024 Remaster),Journey,All the Right Reasons (2020),242,16
Fix You (2021 Remaster),Coldplay,Greatest Hits (2024),210,18
Hey Jude (2018 Remaster),Nickelback,Greatest Hits (2016),227,15
Hey Jude (2018 Remaster),Ed Sheeran,X&Y (2024),274,16
Rockstar (2020 Remaster),P!nk,Night Visions (2018),229,12
Shape of You (2019 Remaster),Coldplay,Greatest Hits (2022),297,9
I'm Yours (2021 Remaster),Queen,The Truth About Love (2017),279,19
Hey Jude (2022 Remaster),P!nk,Divide (2022),241,11
I'm Yours (2022 Remaster),Journey,All the Right Reasons (2017),196,20
Just Give Me a Reason (2023 Remaster),The Beatles,Abbey Road (2017),243,12
Rockstar (2021 Remaster),Jason Mraz,Night Visions (2021),247,11
I'm Yours (2023 Remaster),Queen,All the Right Reasons (2021),204,6
I'm Yours (2023 Remaster),Journey,Divide (2015),289,4
Rockstar (2022 Remaster),The Beatles,Divide (2022),192,19
Just Give Me a Reason (2019 Remaster),Adele,We Sing. We Dance. We Steal Things (2024),254,3
Someone Like You (2022 Remaster),Coldplay,Divide (2021),183,17
I'm Yours (2020 Remaster),Ed Sheeran,Greatest Hits (2018),296,8
Just Give Me a Reason (2021 Remaster),Ed Sheeran,Divide (2021),223,15
Someone Like You (2020 Remaster),Coldplay,Abbey Road (2019),236,11
Bohemian Rhapsody (2019 Remaster),The Beatles,All the Right Reasons (2019),291,8
Hey Jude (2021 Remaster),Journey,Abbey Road (2016),196,2
Shape of You (2019 Remaster),Ed Sheeran,All the Right Reasons (2021),257,8
Someone Like You (2023 Remaster),Nickelback,Greatest Hits (2024),250,17
Rockstar (2018 Remaster),Nickelback,The Truth About Love (2020),236,18
Shape of You (2023 Remaster),Coldplay,The Truth About Love (2020),259,3
Rockstar (2019 Remaster),Ed Sheeran,21 (2015),277,4
Fix You (2024 Remaster),P!nk,A Night at the Opera (2022),252,4
Just Give Me a Reason (2020 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2017),191,15
Shape of You (2023 Remaster),Jason Mraz,Abbey Road (2015),252,17
Hey Jude (2021 Remaster),The Beatles,All the Right Reasons (2016),264,20
Fix You (2018 Remaster),The Beatles,21 (2019),264,19
Believer (2020 Remaster),Journey,Greatest Hits (2018),292,7
Just Give Me a Reason (2020 Remaster),Jason Mraz,X&Y (2020),210,3
Bohemian Rhapsody (2019 Remaster),Journey,All the Right Reasons (2017),258,20
Someone Like You (2020 Remaster),P!nk,A Night at the Opera (2023),282,9
Shape of You (2022 Remaster),Queen,A Night at the Opera (2022),184,5
Don't Stop Believin' (2023 Remaster),Nickelback,X&Y (2018),246,18
Shape of You (2018 Remaster),Adele,A Night at the Opera (2024),189,7
Rockstar (2019 Remaster),Imagine Dragons,A Night at the Opera (2015),243,12
Someone Like You (2021 Remaster),Jason Mraz,21 (2024),250,15
Fix You (2023 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2020),270,17
Fix You (2023 Remaster),The Beatles,Night Visions (2020),211,13
Someone Like You (2022 Remaster),Imagine Dragons,X&Y (2019),198,19
Fix You (2023 Remaster),Queen,Divide (2022),248,18
Someone Like You (2024 Remaster),The Beatles,Divide (2020),221,2
Just Give Me a Reason (2021 Remaster),Journey,21 (2016),187,9
Believer (2018 Remaster),Queen,All the Right Reasons (2022),237,11
Someone Like You (2022 Remaster),P!nk,X&Y (2021),251,13
Believer (2020 Remaster),Imagine Dragons,The Truth About Love (2016),246,15
Hey Jude (2024 Remaster),Coldplay,All the Right Reasons (2023),255,16
Don't Stop Believin' (2024 Remaster),Jason Mraz,A Night at the Opera (2016),200,3
I'm Yours (2024 Remaster),Adele,The Truth About Love (2022),238,19
I'm Yours (2021 Remaster),Coldplay,All the Right Reasons (2020),256,11
Shape of You (2020 Remaster),Queen,X&Y (2022),213,10
Just Give Me a Reason (2019 Remaster),P!nk,Divide (2019),239,8
I'm Yours (2022 Remaster),Jason Mraz,21 (2015),286,11
Fix You (2024 Remaster),Imagine Dragons,Divide (2022),184,20
Hey Jude (2022 Remaster),Adele,Night Visions (2023),206,11
Shape of You (2023 Remaster),Nickelback,X&Y (2023),256,19
Believer (2022 Remaster),P!nk,The Truth About Love (2023),287,18
Bohemian Rhapsody (2024 Remaster),Ed Sheeran,21 (2016),240,12
Someone Like You (2019 Remaster),Journey,Greatest Hits (2015),231,9
Don't Stop Believin' (2023 Remaster),Ed Sheeran,Greatest Hits (2020),234,5
Shape of You (2022 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2022),194,15
Bohemian Rhapsody (2022 Remaster),Journey,A Night at the Opera (2015),200,7
I'm Yours (2024 Remaster),Journey,A Night at the Opera (2023),213,4
I'm Yours (2021 Remaster),Queen,All the Right Reasons (2017),213,6
Hey Jude (2019 Remaster),P!nk,X&Y (2020),300,4
Hey Jude (2019 Remaster),Coldplay,A Night at the Opera (2018),247,4
Believer (2019 Remaster),Jason Mraz,The Truth About Love (2017),271,12
Hey Jude (2023 Remaster),Ed Sheeran,Divide (2024),294,7
Rockstar (2019 Remaster),Coldplay,X&Y (2017),268,19
Hey Jude (2021 Remaster),Imagine Dragons,Night Visions (2023),219,7
Rockstar (2020 Remaster),Imagine Dragons,Greatest Hits (2022),195,8
Someone Like You (2019 Remaster),Coldplay,Night Visions (2021),182,9
I'm Yours (2024 Remaster),Ed Sheeran,Divide (2018),248,9
Bohemian Rhapsody (2021 Remaster),P!nk,21 (2016),292,4
Rockstar (2023 Remaster),Nickelback,A Night at the Opera (2020),227,10
Shape of You (2019 Remaster),Nickelback,Abbey Road (2024),188,6
Fix You (2022 Remaster),Ed Sheeran,Divide (2015),266,1
Don't Stop Believin' (2018 Remaster),Imagine Dragons,Night Visions (2023),236,2
Shape of You (2019 Remaster),Queen,21 (2019),264,19
Just Give Me a Reason (2018 Remaster),Adele,Greatest Hits (2019),214,17
Fix You (2022 Remaster),The Beatles,Greatest Hits (2016),200,12
Hey Jude (2020 Remaster),Jason Mraz,21 (2015),271,10
Shape of You (2024 Remaster),Ed Sheeran,The Truth About Love (2015),261,4
Just Give Me a Reason (2020 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2020),195,9
Believer (2023 Remaster),Imagine Dragons,A Night at the Opera (2021),262,16
Believer (2021 Remaster),P!nk,X&Y (2022),250,1
Shape of You (2024 Remaster),Imagine Dragons,All the Right Reasons (2022),277,20
Rockstar (2021 Remaster),Ed Sheeran,A Night at the Opera (2018),197,2
Bohemian Rhapsody (2018 Remaster),Nickelback,Abbey Road (2015),200,20
Bohemian Rhapsody (2022 Remaster),Ed Sheeran,X&Y (2016),244,2
Don't Stop Believin' (2019 Remaster),Ed Sheeran,Night Visions (2015),195,16
Shape of You (2021 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2024),253,15
Someone Like You (2020 Remaster),Journey,X&Y (2016),193,5
Hey Jude (2021 Remaster),Jason Mraz,A Night at the Opera (2023),185,8
Rockstar (2023 Remaster),Ed Sheeran,X&Y (2020),206,20
I'm Yours (2021 Remaster),Ed Sheeran,Night Visions (2016),297,1
Hey Jude (2022 Remaster),Imagine Dragons,All the Right Reasons (2016),238,2
Shape of You (2019 Remaster),Nickelback,Night Visions (2017),190,5
Hey Jude (2023 Remaster),Ed Sheeran,21 (2016),214,6
Don't Stop Believin' (2019 Remaster),Journey,Night Visions (2022),276,14
I'm Yours (2021 Remaster),Jason Mraz,A Night at the Opera (2019),280,11
Just Give Me a Reason (2020 Remaster),Imagine Dragons,The Truth About Love (2022),224,9
Don't Stop Believin' (2020 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2024),185,6
Bohemian Rhapsody (2019 Remaster),Imagine Dragons,21 (2020),287,3
Bohemian Rhapsody (2018 Remaster),Coldplay,All the Right Reasons (2015),264,12
Bohemian Rhapsody (2022 Remaster),Journey,A Night at the Opera (2024),274,1
Don't Stop Believin' (2021 Remaster),Imagine Dragons,All the Right Reasons (2024),216,15
Don't Stop Believin' (2020 Remaster),Queen,X&Y (2019),190,3
Bohemian Rhapsody (2022 Remaster),Nickelback,Night Visions (2015),186,17
Hey Jude (2022 Remaster),Journey,21 (2017),261,2
Believer (2021 Remaster),Adele,Greatest Hits (2020),182,19
Someone Like You (2018 Remaster),Adele,Night Visions (2017),277,2
Someone Like You (2024 Remaster),P!nk,Abbey Road (2018),184,7
I'm Yours (2020 Remaster),Ed Sheeran,A Night at the Opera (2016),200,12
Bohemian Rhapsody (2022 Remaster),P!nk,We Sing. We Dance. We Steal Things (2021),251,3
Rockstar (2024 Remaster),Jason Mraz,All the Right Reasons (2022),268,10
Believer (2019 Remaster),The Beatles,X&Y (2024),249,10
Bohemian Rhapsody (2018 Remaster),Coldplay,All the Right Reasons (2022),203,2
I'm Yours (2023 Remaster),P!nk,All the Right Reasons (2019),262,17
I'm Yours (2022 Remaster),Adele,Greatest Hits (2020),197,3
Just Give Me a Reason (2019 Remaster),Queen,Divide (2020),218,5
Believer (2023 Remaster),P!nk,All the Right Reasons (2017),286,2
Rockstar (2019 Remaster),Coldplay,The Truth About Love (2018),264,6
Shape of You (2024 Remaster),Queen,A Night at the Opera (2023),270,5
I'm Yours (2020 Remaster),Nickelback,Abbey Road (2019),285,9
Just Give Me a Reason (2023 Remaster),The Beatles,Greatest Hits (2021),256,9
Fix You (2021 Remaster),Journey,Abbey Road (2024),288,1
I'm Yours (2022 Remaster),Coldplay,Divide (2019),267,2
Rockstar (2024 Remaster),P!nk,Abbey Road (2022),295,20
Don't Stop Believin' (2020 Remaster),P!nk,All the Right Reasons (2024),246,6
Just Give Me a Reason (2024 Remaster),P!nk,All the Right Reasons (2018),218,11
Shape of You (2018 Remaster),Jason Mraz,X&Y (2015),270,8
I'm Yours (2022 Remaster),P!nk,All the Right Reasons (2024),270,3
Someone Like You (2018 Remaster),The Beatles,21 (2019),210,13
Someone Like You (2023 Remaster),Nickelback,The Truth About Love (2015),243,11
Just Give Me a Reason (2024 Remaster),Coldplay,Night Visions (2024),246,12
Rockstar (2020 Remaster),Imagine Dragons,A Night at the Opera (2022),238,19
Bohemian Rhapsody (2018 Remaster),Jason Mraz,21 (2019),258,20
Someone Like You (2024 Remaster),Nickelback,Divide (2020),297,4
I'm Yours (2022 Remaster),Imagine Dragons,Greatest Hits (2021),273,14
Hey Jude (2018 Remaster),Journey,Night Visions (2021),218,10
Hey Jude (2020 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2015),270,12
Believer (2021 Remaster),Coldplay,X&Y (2018),227,5
Hey Jude (2020 Remaster),Adele,All the Right Reasons (2019),290,3
Hey Jude (2022 Remaster),P!nk,Night Visions (2015),294,2
I'm Yours (2018 Remaster),Adele,Abbey Road (2023),254,4
Hey Jude (2021 Remaster),Coldplay,Night Visions (2019),277,19
Shape of You (2020 Remaster),The Beatles,21 (2020),217,12
Hey Jude (2019 Remaster),Adele,All the Right Reasons (2024),194,15
Shape of You (2018 Remaster),Queen,X&Y (2021),180,8
Just Give Me a Reason (2019 Remaster),Jason Mraz,Night Visions (2022),219,9
Hey Jude (2021 Remaster),Coldplay,All the Right Reasons (2016),233,7
Rockstar (2023 Remaster),Journey,The Truth About Love (2016),218,15
Bohemian Rhapsody (2020 Remaster),P!nk,All the Right Reasons (2016),266,9
Rockstar (2019 Remaster),Imagine Dragons,21 (2018),241,14
Believer (2020 Remaster),Nickelback,Divide (2017),269,9
Just Give Me a Reason (2018 Remaster),Journey,Night Visions (2022),273,20
Bohemian Rhapsody (2024 Remaster),Jason Mraz,Abbey Road (2018),243,16
Someone Like You (2020 Remaster),Imagine Dragons,Night Visions (2020),216,9
I'm Yours (2022 Remaster),Journey,All the Right Reasons (2024),289,18
Don't Stop Believin' (2020 Remaster),Coldplay,A Night at the Opera (2022),234,20
Bohemian Rhapsody (2022 Remaster),The Beatles,The Truth About Love (2016),278,18
Shape of You (2018 Remaster),Coldplay,21 (2017),290,15
Don't Stop Believin' (2024 Remaster),Coldplay,X&Y (2021),250,2
I'm Yours (2021 Remaster),Journey,The Truth About Love (2019),228,10
Shape of You (2023 Remaster),Ed Sheeran,Abbey Road (2021),242,16
Don't Stop Believin' (2023 Remaster),The Beatles,The Truth About Love (2021),207,2
Fix You (2018 Remaster),Queen,A Night at the Opera (2019),185,2
Believer (2020 Remaster),Nickelback,Night Visions (2016),268,13
Hey Jude (2024 Remaster),Imagine Dragons,The Truth About Love (2022),274,7
Shape of You (2024 Remaster),Queen,Greatest Hits (2018),213,19
Hey Jude (2023 Remaster),Jason Mraz,Divide (2015),261,17
Fix You (2022 Remaster),Adele,Abbey Road (2015),282,19
Hey Jude (2024 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2019),284,7
Shape of You (2019 Remaster),The Beatles,All the Right Reasons (2022),202,3
Hey Jude (2022 Remaster),Journey,X&Y (2017),190,8
Hey Jude (2023 Remaster),The Beatles,Divide (2017),253,18
I'm Yours (2023 Remaster),Journey,Night Visions (2021),237,14
Believer (2018 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2016),263,17
Just Give Me a Reason (2024 Remaster),Ed Sheeran,Night Visions (2021),256,15
I'm Yours (2021 Remaster),Queen,Night Visions (2015),222,8
Don't Stop Believin' (2023 Remaster),Imagine Dragons,The Truth About Love (2016),243,11
Fix You (2021 Remaster),Jason Mraz,A Night at the Opera (2022),297,2
I'm Yours (2023 Remaster),P!nk,Divide (2015),208,4
Someone Like You (2018 Remaster),Jason Mraz,The Truth About Love (2017),218,14
Just Give Me a Reason (2019 Remaster),Queen,X&Y (2022),199,15
Hey Jude (2019 Remaster),P!nk,21 (2022),220,5
Just Give Me a Reason (2021 Remaster),Adele,X&Y (2023),237,13
I'm Yours (2018 Remaster),P!nk,Abbey Road (2020),232,3
Don't Stop Believin' (2018 Remaster),P!nk,We Sing. We Dance. We Steal Things (2021),238,9
Believer (2023 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2018),213,12
Don't Stop Believin' (2018 Remaster),Coldplay,21 (2019),205,15
Rockstar (2024 Remaster),Nickelback,A Night at the Opera (2020),202,17
Rockstar (2023 Remaster),Queen,Abbey Road (2023),209,13
Bohemian Rhapsody (2021 Remaster),Imagine Dragons,Greatest Hits (2021),213,4
Bohemian Rhapsody (2020 Remaster),P!nk,A Night at the Opera (2021),276,13
Shape of You (2018 Remaster),Coldplay,The Truth About Love (2020),298,13
Hey Jude (2022 Remaster),Coldplay,Greatest Hits (2020),295,17
Someone Like You (2024 Remaster),Coldplay,Divide (2016),278,20
Believer (2023 Remaster),Coldplay,The Truth About Love (2017),297,16
Shape of You (2018 Remaster),Nickelback,Greatest Hits (2020),266,15
Just Give Me a Reason (2019 Remaster),Nickelback,A Night at the Opera (2020),289,10
Rockstar (2023 Remaster),Ed Sheeran,All the Right Reasons (2020),220,12
Fix You (2018 Remaster),P!nk,Greatest Hits (2019),184,5
Shape of You (2019 Remaster),Queen,21 (2020),265,15
Rockstar (2023 Remaster),P!nk,Greatest Hits (2024),204,4
Hey Jude (2021 Remaster),The Beatles,A Night at the Opera (2020),201,10
Rockstar (2021 Remaster),Journey,Greatest Hits (2021),235,5
Fix You (2018 Remaster),Coldplay,Abbey Road (2021),240,8
Hey Jude (2021 Remaster),Imagine Dragons,Abbey Road (2018),247,5
Someone Like You (2022 Remaster),Journey,Divide (2021),202,14
Just Give Me a Reason (2024 Remaster),Jason Mraz,Divide (2023),275,10
Believer (2021 Remaster),Journey,Divide (2019),209,4
Someone Like You (2021 Remaster),Journey,21 (2017),264,12
Shape of You (2021 Remaster),Coldplay,All the Right Reasons (2023),260,19
Fix You (2018 Remaster),Coldplay,Abbey Road (2021),182,17
Rockstar (2021 Remaster),Nickelback,21 (2019),212,2
Hey Jude (2023 Remaster),Queen,A Night at the Opera (2015),282,17
Someone Like You (2024 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2017),210,13
Rockstar (2020 Remaster),Journey,X&Y (2024),211,18
Bohemian Rhapsody (2023 Remaster),Journey,Greatest Hits (2022),206,8
Hey Jude (2022 Remaster),Ed Sheeran,The Truth About Love (2016),211,9
Rockstar (2020 Remaster),Adele,The Truth About Love (2024),191,10
Rockstar (2021 Remaster),Ed Sheeran,Divide (2024),295,6
